Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
7	0.715236226	7/1/1870	warmer	cooler	warmer	0.075	0.016	1	-0.052	1870	1870/07
8	0.524951847	8/1/1870	cooler	cooler	cooler	-0.211	-0.262	1	-0.329	1870	1870/08
9	0.739924054	9/1/1870	cooler	cooler	cooler	-0.21	-0.263	1	-0.326	1870	1870/09
10	0.236598064	10/1/1870	cooler	cooler	cooler	-0.324	-0.393	1	-0.468	1870	1870/10
11	0.927367666	11/1/1870	cooler	cooler	cooler	-0.106	-0.164	1	-0.225	1870	1870/11
12	0.552534477	12/1/1870	cooler	cooler	cooler	-0.668	-0.723	1	-0.803	1870	1870/12
1	0.298980186	1/1/1871	cooler	cooler	cooler	-0.458	-0.527	1	-0.603	1871	1871/01
2	0.702614367	2/1/1871	cooler	cooler	cooler	-0.472	-0.546	1	-0.622	1871	1871/02
3	0.875861444	3/1/1871	warmer	cooler	warmer	0.08	0.013	1	-0.068	1871	1871/03
4	0.27102654	4/1/1871	cooler	cooler	cooler	-0.075	-0.144	1	-0.213	1871	1871/04
5	0.169197153	5/1/1871	cooler	cooler	cooler	-0.257	-0.315	1	-0.397	1871	1871/05
6	0.712580698	6/1/1871	cooler	cooler	cooler	-0.17	-0.223	1	-0.292	1871	1871/06
7	0.990926449	7/1/1871	warmer	cooler	cooler	0.052	-0.011	1	-0.08	1871	1871/07
8	0.540129051	8/1/1871	cooler	cooler	cooler	-0.17	-0.221	1	-0.286	1871	1871/08
9	0.838293633	9/1/1871	cooler	cooler	cooler	-0.405	-0.457	1	-0.524	1871	1871/09
10	0.874267892	10/1/1871	cooler	cooler	cooler	-0.418	-0.479	1	-0.557	1871	1871/10
11	0.257397874	11/1/1871	cooler	cooler	cooler	-0.487	-0.54	1	-0.607	1871	1871/11
12	0.26380509	12/1/1871	cooler	cooler	cooler	-0.504	-0.56	1	-0.638	1871	1871/12
1	0.640681033	1/1/1872	cooler	cooler	cooler	-0.243	-0.305	1	-0.385	1872	1872/01
2	0.460471887	2/1/1872	cooler	cooler	cooler	-0.346	-0.402	1	-0.473	1872	1872/02
3	0.358752885	3/1/1872	cooler	cooler	cooler	-0.406	-0.471	1	-0.556	1872	1872/03
4	0.407442163	4/1/1872	cooler	cooler	cooler	-0.082	-0.15	1	-0.217	1872	1872/04
5	0.505876193	5/1/1872	warmer	cooler	cooler	0.018	-0.039	1	-0.125	1872	1872/05
6	0.437331832	6/1/1872	cooler	cooler	cooler	-0.151	-0.208	1	-0.282	1872	1872/06
7	0.744417672	7/1/1872	cooler	cooler	cooler	-0.051	-0.115	1	-0.181	1872	1872/07
8	0.435203919	8/1/1872	warmer	cooler	cooler	0.023	-0.027	1	-0.1	1872	1872/08
9	0.433960788	9/1/1872	cooler	cooler	cooler	-0.071	-0.128	1	-0.19	1872	1872/09
10	0.094024564	10/1/1872	cooler	cooler	cooler	-0.165	-0.225	1	-0.293	1872	1872/10
11	0.142774855	11/1/1872	cooler	cooler	cooler	-0.186	-0.243	1	-0.308	1872	1872/11
12	0.753847063	12/1/1872	cooler	cooler	cooler	-0.368	-0.424	1	-0.491	1872	1872/12
1	0.371171388	1/1/1873	warmer	cooler	cooler	0.052	-0.018	1	-0.087	1873	1873/01
2	0.081407195	2/1/1873	cooler	cooler	cooler	-0.278	-0.345	1	-0.416	1873	1873/02
3	0.664358842	3/1/1873	cooler	cooler	cooler	-0.22	-0.275	1	-0.355	1873	1873/03
4	0.033499791	4/1/1873	cooler	cooler	cooler	-0.461	-0.521	1	-0.584	1873	1873/04
5	0.546427368	5/1/1873	cooler	cooler	cooler	-0.354	-0.411	1	-0.486	1873	1873/05
6	0.060800879	6/1/1873	cooler	cooler	cooler	-0.196	-0.258	1	-0.32	1873	1873/06
7	0.990833979	7/1/1873	cooler	cooler	cooler	-0.091	-0.162	1	-0.237	1873	1873/07
8	0.942702234	8/1/1873	cooler	cooler	cooler	-0.1	-0.161	1	-0.215	1873	1873/08
9	0.130649262	9/1/1873	cooler	cooler	cooler	-0.295	-0.357	1	-0.416	1873	1873/09
10	0.519224772	10/1/1873	cooler	cooler	cooler	-0.339	-0.402	1	-0.465	1873	1873/10
11	0.023204643	11/1/1873	cooler	cooler	cooler	-0.41	-0.466	1	-0.528	1873	1873/11
12	0.646253927	12/1/1873	cooler	cooler	cooler	-0.215	-0.277	1	-0.34	1873	1873/12
1	0.11663585	1/1/1874	warmer	cooler	warmer	0.126	0.054	1	-0.024	1874	1874/01
2	0.8797339	2/1/1874	cooler	cooler	cooler	-0.384	-0.44	1	-0.513	1874	1874/02
3	0.661799282	3/1/1874	cooler	cooler	cooler	-0.501	-0.562	1	-0.641	1874	1874/03
4	0.354592491	4/1/1874	cooler	cooler	cooler	-0.44	-0.507	1	-0.57	1874	1874/04
5	0.213107268	5/1/1874	cooler	cooler	cooler	-0.404	-0.466	1	-0.545	1874	1874/05
6	0.548132303	6/1/1874	cooler	cooler	cooler	-0.397	-0.458	1	-0.532	1874	1874/06
7	0.940482158	7/1/1874	cooler	cooler	cooler	-0.11	-0.174	1	-0.239	1874	1874/07
8	0.574785676	8/1/1874	cooler	cooler	cooler	-0.314	-0.368	1	-0.44	1874	1874/08
9	0.870323127	9/1/1874	cooler	cooler	cooler	-0.157	-0.212	1	-0.283	1874	1874/09
10	0.245154182	10/1/1874	cooler	cooler	cooler	-0.385	-0.436	1	-0.499	1874	1874/10
11	0.001466341	11/1/1874	cooler	cooler	cooler	-0.447	-0.503	1	-0.563	1874	1874/11
12	0.564047194	12/1/1874	cooler	cooler	cooler	-0.341	-0.407	1	-0.474	1874	1874/12
1	0.188219124	1/1/1875	cooler	cooler	cooler	-0.505	-0.577	1	-0.656	1875	1875/01
2	0.954237416	2/1/1875	cooler	cooler	cooler	-0.548	-0.613	1	-0.691	1875	1875/02
3	0.019318955	3/1/1875	cooler	cooler	cooler	-0.54	-0.598	1	-0.675	1875	1875/03
4	0.564461584	4/1/1875	cooler	cooler	cooler	-0.403	-0.462	1	-0.526	1875	1875/04
5	0.69736336	5/1/1875	cooler	cooler	cooler	-0.119	-0.176	1	-0.263	1875	1875/05
6	0.925494274	6/1/1875	cooler	cooler	cooler	-0.174	-0.234	1	-0.304	1875	1875/06
7	0.385960285	7/1/1875	cooler	cooler	cooler	-0.231	-0.302	1	-0.376	1875	1875/07
8	0.651485991	8/1/1875	cooler	cooler	cooler	-0.12	-0.183	1	-0.258	1875	1875/08
9	0.576477883	9/1/1875	cooler	cooler	cooler	-0.214	-0.274	1	-0.35	1875	1875/09
10	0.919465562	10/1/1875	cooler	cooler	cooler	-0.317	-0.371	1	-0.449	1875	1875/10
11	0.026574048	11/1/1875	cooler	cooler	cooler	-0.447	-0.5	1	-0.564	1875	1875/11
12	0.155081995	12/1/1875	cooler	cooler	cooler	-0.432	-0.495	1	-0.574	1875	1875/12
1	0.906249773	1/1/1876	cooler	cooler	cooler	-0.243	-0.311	1	-0.379	1876	1876/01
2	0.84365985	2/1/1876	cooler	cooler	cooler	-0.204	-0.265	1	-0.341	1876	1876/02
3	0.870649951	3/1/1876	cooler	cooler	cooler	-0.321	-0.383	1	-0.467	1876	1876/03
4	0.806523492	4/1/1876	cooler	cooler	cooler	-0.239	-0.3	1	-0.366	1876	1876/04
5	0.234428211	5/1/1876	cooler	cooler	cooler	-0.474	-0.53	1	-0.618	1876	1876/05
6	0.418476847	6/1/1876	cooler	cooler	cooler	-0.225	-0.284	1	-0.36	1876	1876/06
7	0.249883405	7/1/1876	cooler	cooler	cooler	-0.067	-0.134	1	-0.205	1876	1876/07
8	0.296392398	8/1/1876	cooler	cooler	cooler	-0.178	-0.241	1	-0.31	1876	1876/08
9	0.314940512	9/1/1876	cooler	cooler	cooler	-0.375	-0.434	1	-0.508	1876	1876/09
10	0.138103281	10/1/1876	cooler	cooler	cooler	-0.327	-0.385	1	-0.46	1876	1876/10
11	0.887759445	11/1/1876	cooler	cooler	cooler	-0.525	-0.575	1	-0.636	1876	1876/11
12	0.567114395	12/1/1876	cooler	cooler	cooler	-0.642	-0.71	1	-0.785	1876	1876/12
1	0.528323799	1/1/1877	cooler	cooler	cooler	-0.253	-0.325	1	-0.41	1877	1877/01
2	0.271657419	2/1/1877	warmer	cooler	warmer	0.122	0.057	1	-0.023	1877	1877/02
3	0.02918467	3/1/1877	cooler	cooler	cooler	-0.228	-0.293	1	-0.38	1877	1877/03
4	0.288704499	4/1/1877	cooler	cooler	cooler	-0.265	-0.325	1	-0.39	1877	1877/04
5	0.599149371	5/1/1877	cooler	cooler	cooler	-0.388	-0.449	1	-0.542	1877	1877/05
6	0.363708465	6/1/1877	cooler	cooler	cooler	-0.027	-0.088	1	-0.168	1877	1877/06
7	0.214367259	7/1/1877	warmer	cooler	warmer	0.073	0.01	1	-0.067	1877	1877/07
8	0.144109631	8/1/1877	warmer	warmer	warmer	0.215	0.15	1	0.076	1877	1877/08
9	0.834983225	9/1/1877	warmer	cooler	warmer	0.084	0.028	1	-0.042	1877	1877/09
10	0.020464928	10/1/1877	warmer	cooler	warmer	0.113	0.055	1	-0.012	1877	1877/10
11	0.905929182	11/1/1877	warmer	warmer	warmer	0.161	0.104	1	0.043	1877	1877/11
12	0.533133892	12/1/1877	warmer	warmer	warmer	0.247	0.172	1	0.103	1877	1877/12
1	0.28454974	1/1/1878	warmer	warmer	warmer	0.235	0.173	1	0.105	1878	1878/01
2	0.941327486	2/1/1878	warmer	warmer	warmer	0.473	0.404	1	0.33	1878	1878/02
3	0.486106529	3/1/1878	warmer	warmer	warmer	0.403	0.342	1	0.262	1878	1878/03
4	0.660478733	4/1/1878	warmer	warmer	warmer	0.381	0.324	1	0.257	1878	1878/04
5	0.235770256	5/1/1878	cooler	cooler	cooler	-0.028	-0.083	1	-0.177	1878	1878/05
6	0.417277832	6/1/1878	warmer	cooler	warmer	0.071	0.015	1	-0.05	1878	1878/06
7	0.365332347	7/1/1878	warmer	cooler	cooler	0.013	-0.05	1	-0.123	1878	1878/07
8	0.224810597	8/1/1878	warmer	cooler	cooler	0.037	-0.024	1	-0.091	1878	1878/08
9	0.777636571	9/1/1878	warmer	cooler	warmer	0.07	0.018	1	-0.047	1878	1878/09
10	0.23354891	10/1/1878	cooler	cooler	cooler	-0.064	-0.12	1	-0.183	1878	1878/10
